コース名,住所,lat,lng,holes,par


呉カントリークラブ,広島県呉市焼山北2-1-1,34.2506,132.5461,18,72,4,3,5,4,4,3,5,4,4,4,3,5,4,4,3,5,4,4,34.2501,132.5458,34.2498,132.5462,...




広島ゴルフ倶楽部鈴が峰コース,広島県広島市佐伯区五日市町皆賀413,34.38409392135982,132.37451704417907,18,72,4,4,5,4,4,4,4,3,4,3,5,5,3,4,4,3,4,4,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 






東広島ゴルフクラブ南コース,広島県東広島市志和町志和東10671-29,34.48132584903143, 132.6607160454848,18,72,5,4,3,4,4,3,5,4,4,4,3,4,4,5,4,3,4,5,






東広島ゴルフクラブ北コース,広島県東広島市志和町志和東10671-29,34.48132584903143, 132.6607160454848,18,72,4,5,3,4,5,4,4,3,4,5,4,4,3,4,4,5,3,4,


呉カントリークラブ,広島県呉市安浦町安登,34.271111,132.813333,18,72
三原ゴルフクラブ,広島県三原市沼田東町釜山345-6,34.415833,132.898889,18,72
尾道カントリークラブ,広島県世羅郡世羅町大字小世良10691-15,34.590556,132.983333,18,72
福山カントリークラブ,広島県福山市神辺町東中条498,34.541667,133.282222,18,72
庄原カントリークラブ,広島県庄原市板橋町600,34.862500,133.009722,18,72
西条カントリークラブ,広島県東広島市西条町下三永730-10,34.418333,132.734167,18,72
グリーンヒル瀬戸内,広島県竹原市吉名町831,34.362222,132.929167,18,72
竹原カントリークラブ,広島県竹原市小梨町字堂平2022,34.318333,132.906944,18,72
賀茂カントリークラブ,広島県東広島市高屋町高屋東4102,34.435278,132.758333,18,72
広島カントリー倶楽部,広島県廿日市市友田10119,34.373056,132.281944,36,144
広島紅葉カントリークラブ,広島県廿日市市友田220-3,34.376111,132.279722,27,108
スポーツヴィレッジ白竜湖,広島県三原市大和町和木3262,34.490278,133.061667,18,72
広島国際ゴルフ場,広島県東広島市黒瀬町南方10199-70,34.337222,132.671111,18,72
安芸カントリークラブ,広島県東広島市河内町入野11957-6,34.290000,132.870000,18,72
太田川ゴルフ場,広島県広島市安佐南区東原1-22-11,34.470000,132.462222,18,62
尾道うずしおカントリークラブ,広島県尾道市原田町梶山田1069,34.420000,133.235556,18,72
尾道ゴルフ倶楽部,広島県三原市久井町吉田735-32,34.501111,133.038333,18,72
カントリーパーク仙養,広島県神石郡神石高原町近田835,34.742222,133.264167,18,72
京覧カントリークラブ,広島県三原市長谷町291,34.468333,132.996667,27,108
久井カントリークラブ,広島県三原市久井町坂井原755,34.504167,133.048889,18,72
グリーンバーズゴルフ倶楽部,広島県三原市大和町大草20905-37,34.483333,133.062778,18,72
芸南カントリークラブ,広島県廿日市市玖島235,34.348889,132.201389,18,72
郷原カントリークラブ,広島県呉市郷原町西横尾412,34.330556,132.680278,18,72
新市クラシックゴルフクラブ,広島県福山市新市町戸手3103-1,34.571667,133.311111,18,72
鷹の巣ゴルフクラブ,広島県廿日市市河津原137-2,34.440000,132.270000,18,72
広島吉和の森ゴルフ倶楽部,広島県廿日市市吉和1587,34.672222,132.190556,18,72
千代田ゴルフ倶楽部,広島県山県郡北広島町寺原2851,34.689444,132.530000,18,72
戸山カンツリークラブ,広島県広島市安佐南区沼田町阿戸字城山1568-1,34.410000,132.460000,18,72
広島安佐ゴルフクラブ,広島県広島市安佐北区安佐町筒瀬1471-21,34.550000,132.540000,18,72
広島みずほカントリークラブ,広島県東広島市八本松町大字吉川5562-23,34.420000,132.720000,18,72
広島西カントリー倶楽部,広島県廿日市市大野猪ノウツ2392,34.340000,132.280000,18,72
福山ゴルフ倶楽部,広島県福山市御幸町中津原1225-1,34.521111,133.283333,9,36
福山東ゴルフクラブ,広島県福山市春日町宇山137,34.540000,133.330000,18,72
本郷カントリー倶楽部,広島県三原市本郷町南方松屋根1251-1,34.400556,132.921667,18,72
松永カントリークラブ,広島県福山市神村町1388,34.502778,133.248333,18,72
宮島カンツリー倶楽部,広島県広島市佐伯区三宅町1050,34.349722,132.276111,9,36
宮島志和カンツリー倶楽部,広島県東広島市志和町大字七条椛坂488-2,34.468333,132.793333,18,72
八千代カントリークラブ,広島県安芸高田市八千代町佐々井979-1,34.722222,132.775833,27,108
リージャスクレストゴルフクラブグランド,広島県安芸高田市高宮町房後816,34.548611,132.726944,18,72
リージャスクレストゴルフクラブロイヤル,広島県安芸高田市高宮町房後816,34.548611,132.726944,18,72
広島カンツリー倶楽部 八本松コース,広島県東広島市八本松町原11083-1,34.410000,132.720000,18,72
